	Epic	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES		Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year
0	AAL	2017	31 Dec 2017	30643	3323	5862	39828	4441	2136	7800	356	54561	7351	18287	41	25679		28882	772	5910	32735	4358	-14893	28882	8049	6102	1549	26243	0	0	5529	5505	4059
1	AAL	2016	31 Dec 2016	28719	3217	5764	37700	3727	2232	6051	439	50149	6525	19299	0	25824		24325	772	5309	29976	4358	-16090	24325	5399	4874	-906	21378	0	0	1666	2624	1926
2	AAL	2015	31 Dec 2015	29621	3394	5201	38216	4051	1983	6895	868	52013	5839	24815	17	30671		21342	772	4773	28301	4358	-16862	21342	3977	1363	416	20455	0	0	-4112	-5454	-5842
3	AAL	2014	31 Dec 2014	38475	3912	9315	51702	4720	2568	6748	272	66010	6727	27106	0	33833		32177	772	5760	34851	4358	-13564	32177	6111	-14	-841	27073	0	0	138	-259	-1524
4	AAL	2013	31 Dec 2013	41505	4083	9418	55006	4789	3351	7704	315	71165	8351	25450	0	33801		37364	772	5693	38376	4358	-11835	37364	6792	1167	-1235	29342	0	0	2106	1700	426
0	ABF	2017	16 Sep 2017	5470	1414	736	7620	2101	1342	1550	197	12810	3153	1245	0	4398		8412	45	73	7694	0	600	8412	1641	1274	939	15357	0	0	1336	1576	1211
1	ABF	2016	17 Sep 2016	5145	1348	446	6939	2033	1337	555	512	11376	3145	1109	0	4254		7122	45	68	6423	0	586	7122	1310	554	-165	13399	0	0	1103	1042	821
2	ABF	2015	12 Sep 2015	4488	1367	568	6423	1827	1176	702	144	10272	2742	979	0	3721		6551	45	215	6252	0	39	6551	1166	627	187	12800	0	0	947	717	524
3	ABF	2014	13 Sep 2014	4665	1467	714	6846	1631	1293	519	183	10472	2684	1035	0	3719		6753	45	316	5950	0	442	6753	1439	767	187	12943	0	0	1080	1020	783
4	ABF	2013	14 Sep 2013	4552	1581	788	6921	1581	1342	362	139	10345	2526	1322	0	3848		6497	45	364	5486	0	602	6497	1276	651	-7	13315	0	0	1093	876	634
0	ADM	2017	31 Dec 2017	31	159	0	191	0	1006	327	4335	5859	0	0	5203	5203		656	0	10	580	13	52	656	332	309	-0	1129	0	0	415	404	332
1	ADM	2016	31 Dec 2016	32	162	8	203	0	785	327	3547	4861	0	0	4279	4279		582	0	11	506	13	52	582	432	401	36	1017	0	0	290	278	214
2	ADM	2015	31 Dec 2015	35	142	21	198	0	537	265	3202	4202	0	0	3570	3570		633	0	17	600	13	3	633	304	260	7	905	0	0	380	369	292
3	ADM	2014	31 Dec 2014	32	107	23	162	0	82	256	3377	3878	0	0	3297	3297		581	0	14	541	13	13	581	177	129	65	885	0	0	355	351	282
4	ADM	2013	31 Dec 2013	12	93	17	122	0	78	188	3086	3474	0	0	2950	2950		524	0	8	503	13	-0	524	233	223	-27	924	0	0	370	370	287
0	AHT	2017	30 Apr 2017	4505	972	0	5477	44	592	6	7	6126	575	3581	0	4156		1970	50	0	1686	4	231	1970	425	-102	-7	2901	0	0	869	765	501
1	AHT	2016	30 Apr 2016	3589	641	2	4232	41	456	13	8	4749	516	2753	0	3269		1480	55	0	1382	4	40	1480	33	-136	2	2546	0	0	700	617	408
2	AHT	2015	30 Apr 2015	2811	609	3	3423	24	378	11	26	3861	518	2231	0	2750		1112	55	0	971	4	82	1112	-17	-330	8	2039	0	0	541	474	303
3	AHT	2014	30 Apr 2014	1929	446	6	2381	19	260	3	10	2672	369	1479	0	1848		824	55	0	739	4	27	824	23	-154	-17	1635	0	0	404	357	231
4	AHT	2013	30 Apr 2013	1585	430	2	2016	17	219	20	1	2273	314	1276	0	1590		683	55	0	551	4	72	683	1	-84	-3	1362	0	0	285	216	139
0	ANTO	2017	31 Dec 2017	9064	150	1327	10542	484	739	1084	1362	14210	1562	3506	0	5068		9142	90	1823	7042	199	-13	9142	2098	1418	359	4749	0	0	1901	1831	1198
1	ANTO	2016	31 Dec 2016	8738	150	1401	10288	393	736	716	1590	13724	1554	3660	0	5214		8510	90	1694	6549	199	-22	8510	1138	-27	-103	3622	0	0	356	285	214
2	ANTO	2015	31 Dec 2015	8601	150	1833	10584	297	605	808	1244	13537	1439	3579	0	5018		8519	90	1873	6416	199	-59	8519	393	-246	-2	3395	0	0	299	259	702
3	ANTO	2014	31 Dec 2014	8227	119	808	9154	369	810	845	1636	12815	1163	3617	0	4780		8035	90	1861	5952	199	-68	8035	1821	586	259	5290	0	0	1636	1574	851
4	ANTO	2013	31 Dec 2013	7425	133	631	8189	477	905	614	2206	12390	1131	2595	0	3726		8664	90	1939	6448	199	-12	8664	1706	664	-1181	5972	0	0	2158	2084	1240
0	AV.	2017	31 Dec 2017	509	5331	12439	18279	0	8285	43347	372774	442685	0	0	423550	423550		19135	1203	1235	4918	1207	10572	19135	7741	7546	4916	49653	0	0	3057	2374	1646
1	AV.	2016	31 Dec 2016	487	7513	12853	20853	0	7794	38708	373064	440419	0	0	420868	420868		19551	1215	1425	4835	1197	10879	19551	4747	4340	3952	55292	0	0	1833	1833	859
2	AV.	2015	31 Dec 2015	449	7686	13220	21355	0	6875	33676	325968	387874	0	0	369642	369642		18232	1212	1145	4736	1185	9954	18232	4755	12396	11031	23728	0	0	1790	1172	1079
3	AV.	2014	31 Dec 2014	357	2330	10469	13156	0	5933	23105	243525	285719	0	0	273443	273443		12276	937	2058	4617	1172	3492	12276	-544	-792	-2747	43497	0	0	3203	2663	1738
4	AV.	2013	31 Dec 2013	313	2544	10918	13775	0	7060	24999	233042	278876	0	0	267859	267859		11017	936	1471	2348	1165	5097	11017	3997	2772	1243	39311	0	0	3010	3010	2151
0	AZN	2017	31 Dec 2017	7615	38013	4576	50204	3035	5009	3324	1782	63354	16383	30329	0	46712		16642	317	1682	8221	4393	2029	16642	3578	1250	-1686	22465	4318	18147	3677	2227	2868
1	AZN	2016	31 Dec 2016	6848	39244	3172	49264	2334	4573	5018	1337	62526	15256	30601	0	45857		16669	316	1815	8140	4351	2047	16669	4145	176	-1148	23002	4126	18876	4902	3552	3406
2	AZN	2015	31 Dec 2015	6413	34514	3190	44117	2143	6622	6240	1002	60124	14869	26746	0	41615		18509	316	19	11834	4304	2036	18509	3324	-915	-37	24708	4646	20062	4114	3069	2826
3	AZN	2014	31 Dec 2014	6010	32531	3357	41898	1960	7232	6360	1145	58595	17330	21619	0	38949		19646	316	19	13029	4261	2021	19646	7058	26	-2679	26095	5842	20253	2137	1246	1235
4	AZN	2013	31 Dec 2013	5818	26028	3718	35564	1909	7879	9217	1330	55899	16051	16595	0	32646		23253	315	29	16960	3983	1966	23253	7400	4511	1464	25711	5261	20450	3712	3267	2571
0	BA.	2017	31 Dec 2017	2230	10378	2130	14738	723	3586	3271	135	22453	7106	10563	0	17669		4784	87	43	-2693	1249	6098	4784	1897	1537	542	18322	0	0	1480	1134	884
1	BA.	2016	31 Dec 2016	2098	11264	2585	15947	744	3305	2769	211	22976	7299	12213	0	19512		3464	87	26	-4583	1249	6685	3464	1229	623	158	17790	0	0	1742	1151	938
2	BA.	2015	31 Dec 2015	1698	10117	1936	13751	726	2940	2537	129	20083	7153	9928	0	17081		3002	87	13	-3624	1249	5277	3002	628	408	219	16787	0	0	1502	1090	943
3	BA.	2014	31 Dec 2014	1589	9983	2239	13811	690	2850	2308	129	19788	8045	9866	0	17911		1877	87	35	-4555	1249	5061	1877	669	724	86	15430	0	0	1300	882	752
4	BA.	2013	31 Dec 2013	1936	9735	1841	13512	680	3038	2222	229	19681	8445	7818	0	16263		3418	89	37	-2825	1249	4868	3418	-110	-153	-1071	16864	0	0	806	422	176
0	BARC	2017	31 Dec 2017	2572	7849	9205	19626	0	401215	171082	541325	1133248	0	0	1067232	1067232		66016	22045	2111	27536	0	14324	66016	60711	64213	60502	21076	0	0	5620	3541	-894
1	BARC	2016	31 Dec 2016	2825	7726	22475	33026	0	436035	102353	641712	1213126	0	0	1141761	1141761		71365	21842	6492	30531	0	12500	71365	11286	47993	57554	21451	0	0	2740	3230	2828
2	BARC	2015	31 Dec 2015	3468	8222	16120	27810	0	440566	49711	601925	1120012	0	0	1054148	1054148		65864	21586	6054	31021	0	7203	65864	16128	16128	8077	25987	0	0	2073	2073	623
3	BARC	2014	31 Dec 2014	3786	8180	19948	31914	0	469908	39695	816389	1357906	0	0	1291948	1291948		65958	20809	6391	31712	0	7046	65958	-10441	214	-3275	25288	0	0	2691	2256	845
4	BARC	2013	31 Dec 2013	4216	7685	10226	22127	0	428264	45687	816189	1312267	0	0	1248318	1248318		63949	19887	8564	33186	0	2312	63949	-25174	-47819	-41711	27935	0	0	2892	2868	1297
0	BATS	2017	31 Dec 2017	4882	117785	4405	127072	5864	4053	3291	758	141038	15544	64468	0	80012		61026	614	222	36983	26602	-3395	61026	5347	-13197	1171	20292	0	0	6476	29591	37704
1	BATS	2016	31 Dec 2016	3661	12117	11636	27414	5793	3884	2204	478	39773	11856	19511	0	31367		8406	507	224	3331	3931	413	8406	4610	3970	-79	46887	0	0	4655	6245	4839
