	Epic	Name	MarketCap (m)	Shares inissue (m)	DividendYield %	date	Latest Share Price (p)	Market Capitalisation (m)	Share in issue (m)	P/E Ratio	Total dividends per share (p)	Dividend Yield (%)	Dividend cover (x)	NAV per share (p)	Earning per share (p)	52 week high / low	Sector	Activity	Net Gearing (%)	Gross Gearing (%)	Debt Ratio	Debt-to-Equity Ratio	Assets / Equity Ratio	Cash / Equity Ratio	Price to book value	ROCE (%)	EPS Growth (%)	DPS Growth (%)	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES	Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year	EntVal	Cheepness	Cheepness rank	Quality rank	Magic score	Magic rank	Buy	Overweight	Hold	Underweight	Sell	Consensus	Analyst Rating	Analyst rank	MyScore	Myscore rank
10	WIZZ	Wizz Air Holdings	2596	73	0.0	1528877729144248000	3603.0	2625.78	72.74	902.5	0.0	0.0	0.0	0.0	4.0	3,825.00 / 2,236.00	Travel & Leisure	Wizz Air Holdings plc is the largest low-cost airline in Central and Eastern Europe, operates a fleet of 87 Airbus A320 and Airbus A321 aircraft, and offers more than 550 routes from 28 bases, connecting 144 destinations across 43 countries. At Wizz Air, a team of approximately 3,300 aviation professionals delivers superior service and very low ticket prices making Wizz Air the preferred choice of 23 million passengers in 2016. Wizz Air is listed on the London Stock Exchange under the ticker WIZZ and is included in the FTSE 250 and FTSE All-Share Indices. Wizz Air is registered under the International Air Transport Association (IATA), Operational Safety Audit (IOSA), the global benchmark in airline safety recognition. The company was recently named 2016 Value Airline of the Year by the editors of Air Transport World, one of the leading airline trade magazines, as well as 2016 Low Cost Airline of the Year by the Center for Aviation (CAPA), a leading provider of independent aviation market intelligence.	-3.71	42.02	16.29	0.27	1.73	78.88	2.11	19.28	-6.98		2018	31 Mar 2018	18	685	209	911	22	195	980	35	2142	658	242	0	900	1242	0	0	1029	379	-166	1242	417	208	206	1948	0	0	292	286	275	2516	11.605723370429253	13.0	94.0	107.0	12.0	8	0	5	0	1	Overweight	888005	3.0	15.0	1.0
5	GOG	Go-Ahead Group (The)	712	43	6.18	1528877729144248000	1681.5	712.43	43.13	7.95	102.08	6.18	2.03	0.0	207.7	2,004.00 / 1,310.00	Travel & Leisure	Go-Ahead Group (The) plc is a leading UK public transport operator, providing high quality services in the bus and rail sectors. Employing around 27,000 people across the country and overseas, over one billion passenger journeys are undertaken on its services each year. In addition to the travelling public, its customers include the Department for Transport, Transport for London (TfL) and local authorities.	49.45	85.95	56.26	0.21	7.12	259.77	3.14	26.34	27.97	6.5	2017	01 Jul 2017	575	92	7	674	19	333	590	2	1617	1098	292	0	1390	227	74	25	206	2	-79	227	144	-9	-46	3481	0	0	151	137	112	1512	9.986772486772487	22.0	64.0	86.0	6.0	5	0	4	0	1	Overweight	555004	11.0	17.0	2.0
11	ULVR	Unilever	50485	1219	3.11	1528877728471987000	4152.0	50631.06	1218.7	19.23	125.58	3.1	1.68	0.0	216.0	4,557.50 / 3,678.50	Food Producers	Unilever plc is one of the world's leading suppliers of Personal Care, Home Care and Food and Refreshment products with sales in over 190 countries and reaching 2.5 billion consumers a day. It has 169,000 employees and generated sales of Â€52.7 billion in 2016. Over half (57%) of the company's footprint is in developing and emerging markets. Unilever has more than 400 brands found in homes all over the world, including Persil, Dove, Knorr, Domestos, Hellmann's, Lipton, Wall's, PG Tips, Ben & Jerry's, Magnum and Lynx.	70.63	76.14	61.23	0.5	4.19	23.06	3.52	21.97	18.03	15.18	2017	31 Dec 2017	10411	28401	4490	43302	3962	5222	3317	4482	60285	23177	22721	0	45898	14387	0	758	0	0	13629	14387	7292	1413	-20	53715	0	0	8857	8153	6486	93066	9.516901983538565	28.0	80.0	108.0	13.5	7	2	5	0	1	Overweight	777225	4.0	17.5	3.0
16	CEY	Centamin	1419	1155	10.17	1528877729144248000	117.73	1419.16	1154.72	12.92	12.5	10.17	0.76	0.0	9.51	180.90 / 120.80	Mining	Centamin Egypt Limited is a mineral exploration development and mining company dual listed on the Main Market of the London Stock Exchange and the Toronto Stock Exchange. It is a rapidly growing gold producer with its flagship project, the Sukari Gold Mine, located in the Eastern Desert of Egypt some 25km from the Red Sea coast. Gold production at Sukari commenced in June 2009 making Sukari the first modern mine in Egypt, a country which in ancient times was a prolific producer of the yellow metal. In 2010 the mine is scheduled to produce 200,000 ounces of gold at lower quartile cash costs per ounce. With a resource of 10.99 million ounces Measured and Indicated, and 3.5 million ounces Inferred, and a 7.1 million ounce reserve base, the Company is implementing a rapid expansion program to increase production to circa 500,000 oz per year over the next three years. As the first and only significant developer of a modern mine in the country, the Company remains well positioned to realize further opportunities in other areas within its concession and expand into other prospective mineralized zones. The Company's unhedged and debt free position, coupled with a growing resource and reserve base in a relatively unexplored region, positions it to grow and deliver superior results to its shareholders as well as its stakeholders.	-18.46	5.06	0.75	0.14	1.05	24.77	0.98	15.32	-58.74	-19.35	2017	31 Dec 2017	851	169	0	1020	105	34	360	10	1529	66	11	0	77	1452	669	0	779	0	4	1452	359	254	-42	676	414	261	221	224	109	1136	19.454225352112676	3.0	119.0	122.0	18.0	9	0	4	0	0	Overweight	999004	1.0	19.0	4.5
9	CRST	Crest Nicholson Holdings	1146	257	0.0	1528877729144248000	430.7	1146.34	256.91	6.75	33.0	0.0	2.0	0.0	66.1	610.50 / 411.00	Household Goods & Home Construction	Crest Nicholson Holdings plc is firmly established as a leading developer with a passion for not only building homes, but also for creating vibrant sustainable communities. With a southern-based bias, the FTSE250 Group has a track record spanning more than 50 years and a broad portfolio of developments which range in size and scale, from contemporary, large scale mixed-use developments to smaller, more traditional housing schemes. As a pioneer of its own Garden Village principles, the Company advocates a holistic approach to development embracing social, environmental and economic factors to create homes for all segments of the community. These developments are founded on good design, high-quality green spaces, and the greater involvement of local people in both vision and long term management. In line with its commitment to help meet housing demand, apprentices make up c.10% of Crest Nicholson's entire workforce, and the Group supports the development of jobs and skills at every level. The Group's focus on upskilling its workforce has led to its Graduate Training scheme being awarded 'Best Company to work for' by The Job Crowd 2017 and its industry leading Site Management Academy was also named 'Best Training or Recruitment Initiative' at the Housebuilder Awards 2017. The Company is consistently listed in the FTSE4Good index	32.81	44.67	23.48	0.38	1.81	21.42	1.4	19.37	6.61	19.57	2017	31 Oct 2017	4	29	77	110	1087	103	175	4	1478	409	251	0	660	818	13	0	731	74	0	818	23	32	-107	1043	768	275	212	207	169	1631	12.998160637645617	10.0	93.0	103.0	11.0	5	1	3	0	0	Overweight	555113	8.0	19.0	4.5
8	HWDN	Howden Joinery Group	3180	614	2.14	1528877729144248000	523.8	3180.19	614.17	17.32	11.1	2.14	2.69	0.0	29.9	526.80 / 398.30	Support Services	Howdens Joinery Group plc (formerly Galiform plc) is the parent company of Howden Joinery (Howdens). In the UK, Howdens is engaged in the sale of kitchens and joinery products to trade customers, primarily small local builders, through approximately 650 depots. Around one-third of the products it sells are manufactured in the company's own factories in Runcorn, Cheshire and Howden, East Yorkshire. The business also has nascent operations in France, Belgium, Holland and Germany.	20.8	43.82	21.12	0.34	1.78	40.97	7.0	40.33	1.36	3.74	2017	30 Dec 2017	180	15	26	221	208	138	186	55	809	233	122	0	354	454	63	0	351	88	-47	454	177	128	15	1404	515	888	234	232	185	3348	6.989247311827956	57.0	43.0	100.0	10.0	5	0	5	0	3	Hold	555005	10.0	20.0	6.0
2	BKG	Berkeley Group Holdings (The)	5775	134	2.52	1528877728471987000	4199.0	5775.44	134.16	9.2	185.0	2.52	4.31	0.0	467.8	4,338.00 / 3,041.00	Household Goods & Home Construction	The Berkeley Group is a UK listed holding company of a wider group engaged in residential and commercial property development focusing on urban regeneration and mixed-use developments. The Company is incorporated and domiciled in England and Wales.	39.94	52.86	17.15	0.19	2.12	27.4	2.7	31.5	58.15	-7.5	2017	30 Apr 2017	23	17	194	234	3483	230	586	0	4533	1954	442	0	2396	2137	7	0	3017	50	-937	2137	421	497	478	2724	1784	940	756	812	645	7585	9.96704021094265	23.0	52.0	75.0	3.0	3	0	5	0	3	Hold	333005	19.0	22.0	7.5
3	PSN	Persimmon	8904	311	8.22	1528877728471987000	2809.5	8903.54	311.31	11.22	0.0	8.22	1.09	0.0	255.0	2,913.00 / 2,214.00	Household Goods & Home Construction	Persimmon plc is one of the UK's leading housebuilders. It concentrates on family housing with c.90% of our sales being traditional house types, with just under 50% of our private home sales at prices below Â£200,000 creating a large potential customer base. it has c.16,340 acres of strategic landholdings at 30 June 2017 and its success at converting this asset to land with planning permission means that c.49% of our consented landbank has been converted from its strategic land portfolio.	5.31	32.69	10.02	0.23	1.49	40.69	2.78	27.15	25.62		2017	31 Dec 2017	53	203	287	542	2826	86	1303	0	4757	1199	357	0	1555	3202	31	0	2644	14	513	3202	824	806	390	3422	2351	1072	955	966	787	9156	10.430318916557448	20.0	62.0	82.0	4.0	3	0	6	1	3	Hold	333006	18.0	22.0	7.5
1	DCG	Dairy Crest Group	789	156	4.46	1528877729144248000	508.5	788.51	155.52	4.76	22.6	4.46	4.72	0.0	106.6	654.00 / 482.80	Food Producers	Dairy Crest is a leading British dairy company. Fundamental to its business is the high quality milk which is supplied by approximately 330 farmers in Devon and Cornwall who supply exclusively to the company. Its production, packaging and distribution facilities in Davidstow and Nuneaton are two of the most advanced of their kind, enabling it to deliver unrivalled quality and consistency. It has a track record of investing in manufacturing excellence; most recently at its demineralised whey and galacto-oligosaccharides (GOS) facilities at our Davidstow site in Cornwall.	57.61	61.21	54.42	0.76	2.58	9.27	3.24	33.52	289.05	0.44	2018	31 Mar 2018	186	107	95	388	184	29	23	5	628	94	291	0	385	244	35	0	73	87	48	244	24	14	2	457	0	0	189	179	150	1151	16.420503909643788	4.0	49.0	53.0	2.0	2	1	4	0	0	Overweight	222114	21.0	23.0	9.0
0	FXPO	Ferrexpo	1311	589	1.9	1528877729144248000	218.8	1288.5	588.62	3.26	6.6	1.93	10.17	0.0	67.09	326.60 / 174.20	Industrial Metals & Mining	Ferrexpo plc is a Swiss headquartered iron ore company with assets in Ukraine. It has been mining, processing and selling high quality iron ore pellets to the global steel industry for 40 years. Ferrexpo's resource base is one of the largest iron ore deposits in the world. The Group is currently the 3rd largest exporter of pellets to the global steel industry and the largest exporter of pellets from the Former Soviet Union. In 2016, it produced 11.2 million tonnes of pellets reflecting a 2% increase in production of the Group's highest quality pellets to a record 10.5 million tonnes. Ferrexpo has a diversified customer base supplying steel mills in Austria, Slovakia, the Czech Republic, Germany and other European states, as well as in China, India, Japan, Taiwan and South Korea.	43.18	51.18	25.97	0.34	2.05	16.39	2.16	55.83	109.66	100.0	2017	31 Dec 2017	623	37	238	898	97	88	98	41	1222	416	209	0	625	596	122	0	2310	185	-2021	596	353	256	-45	1197	0	0	490	450	394	1838	26.659412404787812	2.0	31.0	33.0	1.0	2	0	7	1	3	Hold	222007	22.5	23.5	10.0
